Title,Latitude,Longitude,PowerKW,charging_station_type,anno
nuova_colonnina,45.49456850757924,9.107661589744739,22,slow,2026
nuova_colonnina,45.493895840866045,9.107513629522582,22,slow,2026
Eni,45.49780849999653,9.167012999999432,50,fast,2026
nuova_colonnina,45.520317735526916,9.176742486452726,50,fast,2026
nuova_colonnina,45.51973770000009,9.199125899994211,22,slow,2026
nuova_colonnina,45.52100380000222,9.172451899997974,22,slow,2026
nuova_colonnina,45.498884597959695,9.189188853344248,22,slow,2026
Bovisa Via Bovisa corrispondenza linea interscambio con Fnm,45.50211629999858,9.160924000005497,50,fast,2026
nuova_colonnina,45.482491500000556,9.188459900004354,50,fast,2026
nuova_colonnina,45.50456795723214,9.172750171052723,22,slow,2026
nuova_colonnina,45.531387840128495,9.161777657490028,22,slow,2026
nuova_colonnina,45.529378300002946,9.1665906,50,fast,2026
Eni,45.456985399995894,9.171072800001603,50,fast,2027
nuova_colonnina,45.457997199996385,9.204044400005738,22,slow,2027
Pam,45.46090460000056,9.1732644,22,slow,2027
Mar'è,45.46267940000302,9.199126149994864,22,slow,2027
Dott. Martinelli Daniele,45.45748569002487,9.169716469742648,22,slow,2027
nuova_colonnina,45.50714559327832,9.249788955953463,150,ultrafast,2027
Eni,45.501285462390385,9.209440866220781,50,fast,2027
nuova_colonnina,45.485725699998135,9.209645700001838,22,slow,2027
nuova_colonnina,45.514136676514575,9.248085607274636,22,slow,2027
nuova_colonnina,45.50268019710293,9.222106912507575,22,slow,2027
nuova_colonnina,45.48825202070325,9.204703982536985,50,fast,2027
nuova_colonnina,45.50055494373487,9.239090499321991,22,slow,2027
nuova_colonnina,45.51648592,9.242287315113982,22,slow,2027
nuova_colonnina,45.51344814573862,9.238115231444725,50,fast,2027
nuova_colonnina,45.50082674735988,9.212233684773647,50,fast,2027
nuova_colonnina,45.505500322483755,9.220689743890825,22,slow,2027
Esso,45.486256,9.244254999995569,50,fast,2027
IP,45.50650379999801,9.2591386,50,fast,2027
nuova_colonnina,45.48306499271753,9.237347781407461,22,slow,2027
nuova_colonnina,45.475663415844636,9.233944726174295,50,fast,2027
Indipendente,45.44786910000169,9.223651,50,fast,2027
Esso,45.43943090000122,9.224775299998301,50,fast,2027
Eni,45.453112100003715,9.254385999999595,50,fast,2027
nuova_colonnina,45.44461665987512,9.231727999227534,22,slow,2027
nuova_colonnina,45.46297823140225,9.255451925678818,22,slow,2027
nuova_colonnina,45.434119236691664,9.246548551006828,22,slow,2027
nuova_colonnina,45.45063240398084,9.231454036423507,22,slow,2027
nuova_colonnina,45.449647654551505,9.229892037,50,fast,2027
nuova_colonnina,45.45051607737102,9.229981914530724,50,fast,2027
nuova_colonnina,45.46027817719332,9.249008048789666,50,fast,2027
